# L    TT    EE    BB    TE    PP    TP    EP
0    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
1    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
2    1.02770E+03    3.05084E-02    1.46662E-05    2.60288E+00    5.01717E-08    3.03099E-03    -1.21815E-05
3    9.72440E+02    3.93673E-02    1.44890E-05    2.92784E+00    6.10403E-08    3.02730E-03    -1.30954E-05
4    9.19709E+02    3.43565E-02    1.22207E-05    2.75299E+00    7.03164E-08    2.94983E-03    -1.11183E-05
5    8.80432E+02    2.31024E-02    9.26500E-06    2.35047E+00    7.83623E-08    2.84599E-03    -7.61504E-06
6    8.53628E+02    1.30045E-02    6.58411E-06    1.89839E+00    8.53823E-08    2.73580E-03    -3.74341E-06
7    8.36575E+02    7.03178E-03    4.63557E-06    1.49561E+00    9.15613E-08    2.62872E-03    -3.89901E-07
8    8.26306E+02    4.50430E-03    3.49427E-06    1.18582E+00    9.70289E-08    2.52488E-03    1.87515E-06
9    8.21438E+02    3.59595E-03    3.03517E-06    9.74653E-01    1.01895E-07    2.42300E-03    2.83627E-06
10    8.20512E+02    3.06708E-03    3.07261E-06    8.54556E-01    1.06230E-07    2.32503E-03    2.65564E-06
11    8.22135E+02    2.58338E-03    3.42526E-06    8.08726E-01    1.10126E-07    2.23528E-03    1.76653E-06
12    8.27026E+02    2.25400E-03    3.96413E-06    8.18593E-01    1.13587E-07    2.15272E-03    6.36913E-07
13    8.33276E+02    2.15965E-03    4.60745E-06    8.60881E-01    1.16716E-07    2.07997E-03    -3.99635E-07
14    8.40711E+02    2.24459E-03    5.31210E-06    9.14381E-01    1.19501E-07    2.00975E-03    -1.14925E-06
15    8.48281E+02    2.42627E-03    6.05968E-06    9.71191E-01    1.22017E-07    1.94256E-03    -1.48499E-06
16    8.57762E+02    2.68033E-03    6.84298E-06    1.03287E+00    1.24267E-07    1.87569E-03    -1.33748E-06
