#  L    TT    EE     BB    EB
0    3.11273E-01    0.00000E+00    0.00000E+00    0.00000E+00
1    8.10017E-04    0.00000E+00    0.00000E+00    0.00000E+00
2    4.78706E-03    1.43817E-06    1.38987E-06    -4.47365E-05
3    2.46946E-03    5.09177E-06    4.12021E-06    -3.81042E-05
4    1.72214E+03    3.82627E-02    2.58642E-05    5.47594E+00
5    1.46536E+03    4.00857E-02    1.57929E-05    2.59278E+00
6    1.42110E+03    1.92560E-02    2.31478E-05    2.70465E+00
7    1.56810E+03    3.38156E-02    2.65412E-05    5.10204E+00
8    9.07410E+02    1.84329E-02    1.39750E-05    2.64194E+00
9    7.28483E+02    6.68918E-03    3.21262E-05    1.19287E+00
10    7.20149E+02    4.03422E-03    3.00136E-05    1.17274E+00
11    1.01800E+03    2.65135E-03    2.36056E-05    9.52149E-01
12    8.22922E+02    3.44986E-03    5.12410E-05    9.11472E-01
13    7.77806E+02    2.61771E-03    8.51326E-05    8.46094E-01
14    7.09328E+02    2.46124E-03    4.77343E-05    6.15733E-01
15    8.68893E+02    1.62351E-03    4.20954E-05    6.81844E-01
16    1.17341E+03    2.81908E-03    1.48241E-04    1.43088E+00
17    9.16591E+02    3.23844E-03    9.25249E-05    1.23481E+00
18    8.55387E+02    3.70056E-03    9.79651E-05    1.36407E+00
19    9.00987E+02    1.83321E-03    1.36970E-04    8.25712E-01
20    8.78433E+02    3.39060E-03    1.50907E-04    1.24965E+00
21    6.32068E+02    3.90330E-03    1.13319E-04    1.00692E+00
22    1.16695E+03    5.07730E-03    1.95074E-04    1.74688E+00
23    7.23754E+02    5.74768E-03    1.45452E-04    1.20305E+00
24    7.12971E+02    8.54749E-03    2.20915E-04    1.34879E+00
25    1.23492E+03    1.04778E-02    1.71728E-04    1.82049E+00
26    1.03647E+03    8.90624E-03    1.58732E-04    1.73838E+00
27    7.50934E+02    9.70186E-03    1.87961E-04    1.13977E+00
28    9.36716E+02    1.03398E-02    2.62727E-04    9.60362E-01
29    9.62667E+02    1.57968E-02    2.16765E-04    1.55406E+00
30    8.06194E+02    1.47933E-02    2.57243E-04    6.68726E-01
31    1.18838E+03    1.79463E-02    3.45982E-04    1.63535E+00
32    1.39621E+03    2.02786E-02    3.54799E-04    2.24576E+00
33    1.06308E+03    1.95926E-02    4.20283E-04    2.10062E+00
